1408543304.784911519 2.57678 1.00652 88.7259 3 -0.00796285 0.174527 21
1408543305.089336784 2.57678 1.00652 88.7259 3 0.0296741 0.174527 30
1408543306.612990255 2.57678 1.00652 88.7259 3 0.179786 0.174527 23
1408543307.222386757 2.57678 1.00652 88.7259 3 0.254998 0.174527 29
1408543307.427069994 2.57678 1.00652 88.7259 3 0.254998 0.174527 24
1408543310.979902470 2.57678 1.00652 88.7259 3 0.631025 0.174527 21
1408543311.690711812 2.57678 1.00652 88.7259 3 0.705987 0.174527 21
1408543330.377438138 2.57678 1.00652 88.7259 3 0.708569 0.174527 22
1408543330.987675811 2.57678 1.00652 88.7259 3 0.671088 0.174527 21
1408543331.088498534 2.57678 1.00652 88.7259 3 0.671088 0.174527 21
1408543334.846051003 2.57678 1.00652 88.7259 3 0.295185 0.174527 24
1408543336.978992841 2.57678 1.00652 88.7259 3 0.0698305 0.174527 22
